Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_3h
54428 2025 10 5 0 1013.4000 1017.2000 1013.4000 1012.8000 2.4000 5.0000 81 72 1.8000 85 19.3000 19.3000 18.3000 86 85 0.0000 
54428 2025 10 5 3 1013.8000 1017.6000 1014.3000 1013.7000 2.9000 5.7000 82 78 2.6000 81 20.9000 20.9000 20.7000 62 61 0.0000 
54428 2025 10 5 6 1012.8000 1016.6000 1013.2000 1012.8000 3.1000 6.0000 75 73 2.3000 81 20.5000 21.2000 20.5000 54 50 0.0000 
54428 2025 10 5 9 1013.1000 1016.9000 1013.1000 1012.7000 1.8000 3.3000 68 49 1.2000 69 19.3000 20.0000 19.3000 56 49 0.0000 
54428 2025 10 5 12 1014.4000 1018.2000 1014.4000 1014.1000 2.2000 3.8000 59 61 2.3000 59 18.6000 18.6000 18.0000 50 50 0.0000 
54428 2025 10 5 15 1015.7000 1019.5000 1015.7000 1015.3000 1.5000 2.6000 243 222 0.9000 242 15.3000 17.2000 15.3000 85 50 0.0000 
54428 2025 10 5 18 1016.0000 1019.8000 1016.0000 1015.7000 1.3000 2.4000 325 320 0.6000 341 13.1000 14.1000 13.1000 91 81 0.9000 
54428 2025 10 5 21 1015.9000 1019.7000 1016.0000 1015.7000 2.0000 3.3000 330 327 2.0000 332 12.6000 12.6000 12.4000 73 73 0.5000 
54428 2025 10 6 0 1016.7000 1020.5000 1016.7000 1015.7000 1.2000 1.7000 331 318 0.9000 331 14.0000 14.0000 13.2000 70 67 0.0000 
54428 2025 10 6 3 1017.2000 1021.0000 1017.4000 1017.1000 1.4000 2.7000 222 277 0.7000 205 17.1000 17.2000 15.9000 55 55 0.0000 
54428 2025 10 6 6 1015.5000 1019.3000 1015.6000 1015.3000 1.9000 3.5000 251 176 1.1000 208 19.9000 20.5000 19.5000 56 52 0.0000 
54428 2025 10 6 9 1015.1000 1018.9000 1015.2000 1014.9000 1.6000 2.6000 196 206 1.4000 196 19.1000 21.7000 19.1000 64 49 0.0000 
54428 2025 10 6 12 1016.5000 1020.3000 1016.5000 1016.0000 0.9000 1.4000 324 321 1.0000 324 13.3000 13.9000 13.3000 90 86 0.0000 
54428 2025 10 6 15 1016.7000 1020.5000 1016.7000 1016.6000 1.2000 1.3000 259 303 0.8000 266 12.1000 12.4000 12.1000 93 91 0.0000 
54428 2025 10 6 18 1016.8000 1020.6000 1016.8000 1015.8000 1.2000 1.5000 284 259 0.3000 288 13.1000 13.1000 12.1000 94 93 0.0000 
54428 2025 10 6 21 1016.2000 1020.0000 1016.6000 1016.1000 0.7000 1.0000 340 231 0.6000 302 13.5000 13.6000 13.5000 94 93 0.0000 
54428 2025 10 7 0 1016.6000 1020.4000 1016.7000 1016.5000 0.7000 1.2000 337 68 0.8000 328 15.2000 15.2000 13.1000 88 87 0.0000 
54428 2025 10 7 3 1016.1000 1019.9000 1016.5000 1015.9000 3.2000 4.8000 258 270 1.8000 242 21.2000 21.2000 18.7000 55 53 0.0000 
54428 2025 10 7 6 1014.3000 1018.1000 1014.7000 1014.3000 3.2000 6.2000 229 225 2.6000 227 22.1000 23.5000 22.1000 54 47 0.0000 
54428 2025 10 7 9 1014.5000 1018.3000 1014.7000 1014.3000 2.1000 3.9000 218 207 1.5000 228 20.4000 21.4000 20.4000 68 61 0.0000 
54428 2025 10 7 12 1016.2000 1020.0000 1016.2000 1015.7000 0.9000 1.4000 330 298 0.6000 324 15.1000 16.0000 15.1000 93 89 0.0000 
54428 2025 10 7 15 1015.9000 1019.7000 1016.1000 1015.8000 1.7000 2.3000 83 999017 0.0000 64 15.5000 16.1000 15.3000 93 91 0.0000 
54428 2025 10 7 18 1016.9000 1020.7000 1017.0000 1016.4000 1.7000 2.3000 24 51 1.4000 13 16.3000 16.6000 16.2000 89 88 0.0000 
54428 2025 10 7 21 1018.9000 1022.7000 1018.9000 1018.4000 1.5000 2.0000 22 55 1.0000 18 15.8000 16.7000 15.8000 79 74 0.0000 
54428 2025 10 8 0 1020.9000 1024.7000 1021.0000 1020.4000 1.7000 2.8000 56 77 0.9000 62 16.3000 16.5000 15.9000 50 46 0.0000 
54428 2025 10 8 3 1021.7000 1025.5000 1021.9000 1021.7000 2.4000 4.1000 66 55 1.5000 61 13.9000 14.6000 13.9000 64 52 0.5000 
54428 2025 10 8 6 1021.1000 1025.0000 1021.2000 1020.9000 2.5000 3.3000 52 81 1.7000 59 11.2000 11.9000 11.2000 83 76 2.5000 
54428 2025 10 8 9 1020.4000 1024.3000 1021.1000 1020.4000 2.7000 4.2000 75 68 2.4000 70 9.9000 9.9000 9.5000 94 92 9.1000 
54428 2025 10 8 12 1021.9000 1025.8000 1021.9000 1020.8000 2.0000 3.5000 74 66 2.1000 74 9.3000 9.4000 9.3000 94 94 6.2000 
54428 2025 10 8 15 1022.1000 1026.0000 1022.1000 1021.8000 1.3000 2.2000 49 44 1.1000 39 9.2000 9.3000 9.2000 95 95 6.4000 
54428 2025 10 8 18 1021.0000 1024.9000 1021.3000 1020.9000 1.7000 2.9000 53 53 1.9000 66 8.8000 9.0000 8.8000 96 96 2.8000 
54428 2025 10 8 21 1020.1000 1024.0000 1020.6000 1020.1000 1.5000 3.1000 41 62 1.0000 36 9.0000 9.0000 8.9000 97 96 6.5000 
54428 2025 10 9 0 1021.3000 1025.2000 1021.3000 1020.8000 2.9000 5.1000 64 45 2.2000 61 9.4000 9.5000 9.4000 94 94 4.3000 
54428 2025 10 9 3 1020.8000 1024.7000 1021.3000 1020.7000 3.7000 6.9000 76 69 3.0000 70 9.6000 9.6000 9.3000 93 93 5.0000 
54428 2025 10 9 6 1020.1000 1024.0000 1020.1000 1019.9000 2.4000 3.8000 76 66 1.8000 71 9.7000 9.9000 9.6000 94 92 5.7000 
54428 2025 10 9 9 1019.2000 1023.1000 1019.4000 1019.0000 2.0000 3.3000 75 79 1.0000 70 9.4000 9.4000 9.3000 93 93 3.3000 
54428 2025 10 9 12 1019.6000 1023.5000 1019.8000 1019.6000 0.7000 1.0000 35 242 0.5000 331 9.7000 9.7000 9.6000 95 93 0.0000 
54428 2025 10 9 15 1019.3000 1023.2000 1019.7000 1019.2000 1.6000 2.7000 245 247 0.9000 248 9.9000 9.9000 9.9000 96 96 0.0000 
54428 2025 10 9 18 1019.4000 1023.3000 1020.0000 1019.3000 1.5000 3.2000 271 287 0.7000 257 10.1000 10.1000 10.0000 94 93 1.6000 
54428 2025 10 9 21 1018.4000 1022.3000 1018.9000 1018.0000 1.5000 2.3000 332 286 0.6000 45 9.3000 9.6000 9.3000 94 91 1.3000 
54523 2025 10 5 0 1015.6000 1016.5000 1015.6000 1015.2000 0.7000 1.2000 111 999017 0.2000 81 19.7000 19.7000 19.4000 92 92 0.0000 
54523 2025 10 5 3 1016.2000 1017.1000 1016.6000 1016.1000 2.5000 4.8000 83 80 2.0000 78 19.1000 20.1000 19.0000 96 90 0.8000 
54523 2025 10 5 6 1015.7000 1016.6000 1015.9000 1015.5000 2.5000 5.6000 89 82 1.5000 84 17.1000 17.7000 16.9000 97 96 4.1000 
54523 2025 10 5 9 1015.5000 1016.4000 1015.6000 1015.0000 1.4000 3.1000 117 118 0.6000 93 16.4000 16.6000 16.4000 91 90 0.3000 
54523 2025 10 5 12 1016.8000 1017.7000 1016.9000 1016.7000 2.4000 5.1000 111 92 1.9000 126 15.2000 16.1000 15.2000 91 91 0.9000 
54523 2025 10 5 15 1018.7000 1019.6000 1018.9000 1018.3000 1.3000 3.0000 105 9 0.7000 92 13.3000 13.9000 13.3000 93 93 4.6000 
54523 2025 10 5 18 1018.5000 1019.4000 1018.5000 1017.9000 1.2000 2.2000 135 120 0.6000 127 12.5000 12.7000 12.5000 94 92 4.6000 
54523 2025 10 5 21 1018.2000 1019.1000 1018.5000 1018.2000 0.7000 1.5000 4 353 1.2000 345 12.6000 12.7000 12.5000 97 96 2.2000 
54523 2025 10 6 0 1019.2000 1020.1000 1019.2000 1018.4000 0.7000 1.6000 41 999017 0.2000 36 13.2000 13.3000 12.9000 88 87 0.1000 
54523 2025 10 6 3 1019.9000 1020.8000 1020.2000 1019.9000 1.7000 3.4000 4 39 1.3000 12 15.6000 15.7000 15.1000 64 62 0.0000 
54523 2025 10 6 6 1018.5000 1019.4000 1018.7000 1018.5000 1.7000 3.1000 4 356 1.3000 317 18.3000 18.5000 17.6000 50 48 0.0000 
54523 2025 10 6 9 1018.2000 1019.1000 1018.2000 1018.0000 1.0000 1.3000 327 283 0.8000 11 18.5000 19.4000 18.5000 56 46 0.0000 
54523 2025 10 6 12 1019.3000 1020.2000 1019.3000 1018.7000 0.8000 1.2000 248 999017 0.0000 251 13.5000 14.3000 13.5000 87 82 0.0000 
54523 2025 10 6 15 1019.6000 1020.5000 1019.6000 1019.4000 0.5000 0.7000 209 215 0.6000 167 12.1000 12.3000 12.1000 94 93 0.0000 
54523 2025 10 6 18 1019.6000 1020.5000 1019.6000 1019.0000 1.3000 2.1000 283 277 0.8000 270 14.5000 14.6000 13.6000 78 77 0.0000 
54523 2025 10 6 21 1019.2000 1020.1000 1019.4000 1019.1000 0.6000 1.0000 219 999017 0.1000 211 14.4000 14.6000 14.4000 88 84 0.0000 
54523 2025 10 7 0 1019.5000 1020.4000 1019.5000 1019.0000 1.1000 2.1000 226 340 0.9000 214 16.8000 16.8000 14.2000 76 74 0.0000 
54523 2025 10 7 3 1019.2000 1020.1000 1019.3000 1019.1000 1.6000 3.6000 258 264 0.9000 269 20.8000 21.1000 19.6000 55 50 0.0000 
54523 2025 10 7 6 1017.2000 1018.1000 1018.0000 1017.2000 2.1000 3.7000 213 227 1.9000 268 22.1000 22.5000 21.6000 50 48 0.0000 
54523 2025 10 7 9 1017.7000 1018.6000 1017.8000 1017.3000 2.0000 3.4000 267 252 1.4000 242 21.2000 22.1000 21.2000 60 52 0.0000 
54523 2025 10 7 12 1018.7000 1019.6000 1018.7000 1018.3000 0.4000 0.5000 155 263 0.3000 168 16.0000 17.3000 16.0000 91 85 0.0000 
54523 2025 10 7 15 1019.0000 1019.9000 1019.1000 1018.7000 1.0000 1.4000 260 261 0.9000 259 16.4000 16.4000 16.2000 95 94 0.0000 
54523 2025 10 7 18 1018.9000 1019.8000 1019.2000 1018.4000 0.6000 1.0000 132 283 0.5000 99 16.9000 17.0000 16.8000 95 94 0.0000 
54523 2025 10 7 21 1021.3000 1022.2000 1021.3000 1020.3000 2.1000 5.4000 88 84 2.0000 82 16.8000 17.1000 16.8000 92 92 1.1000 
54523 2025 10 8 0 1023.3000 1024.2000 1023.3000 1023.0000 3.9000 8.7000 90 95 4.0000 96 13.1000 13.3000 12.9000 63 61 3.6000 
54523 2025 10 8 3 1023.7000 1024.6000 1024.2000 1023.7000 2.8000 7.4000 84 97 1.8000 85 13.4000 13.4000 13.1000 59 56 0.1000 
54523 2025 10 8 6 1023.3000 1024.2000 1023.5000 1022.9000 1.7000 4.6000 37 58 0.9000 38 11.5000 13.4000 11.5000 85 64 1.3000 
54523 2025 10 8 9 1023.3000 1024.3000 1023.4000 1022.9000 2.2000 5.0000 39 47 1.5000 33 8.9000 9.6000 8.9000 95 94 5.6000 
54523 2025 10 8 12 1024.3000 1025.3000 1024.5000 1023.8000 2.3000 6.5000 33 25 2.1000 28 8.5000 8.6000 8.5000 97 96 8.9000 
54523 2025 10 8 15 1024.3000 1025.3000 1024.6000 1024.1000 1.9000 4.4000 41 46 1.3000 55 8.2000 8.3000 8.2000 97 97 13.0000 
54523 2025 10 8 18 1023.0000 1024.0000 1023.4000 1023.0000 2.3000 5.6000 40 32 2.0000 30 8.2000 8.4000 8.2000 97 97 5.7000 
54523 2025 10 8 21 1022.5000 1023.5000 1022.8000 1022.5000 2.1000 4.6000 21 28 1.5000 25 8.3000 8.3000 8.1000 98 97 10.1000 
54523 2025 10 9 0 1023.4000 1024.4000 1023.4000 1023.1000 2.0000 5.6000 30 38 1.6000 36 8.9000 8.9000 8.7000 98 98 9.0000 
54523 2025 10 9 3 1023.0000 1024.0000 1023.5000 1023.0000 1.9000 5.1000 45 47 1.8000 48 8.7000 8.9000 8.7000 97 97 6.8000 
54523 2025 10 9 6 1022.2000 1023.2000 1022.7000 1022.1000 2.4000 6.9000 39 41 3.1000 32 8.2000 8.2000 8.1000 97 97 17.6000 
54523 2025 10 9 9 1022.0000 1023.0000 1022.0000 1021.5000 1.7000 4.5000 14 40 1.6000 42 8.2000 8.4000 8.2000 96 96 7.0000 
54523 2025 10 9 12 1022.2000 1023.2000 1022.3000 1022.1000 1.4000 4.1000 29 26 1.5000 37 8.2000 8.2000 8.1000 97 97 6.5000 
54523 2025 10 9 15 1022.1000 1023.1000 1022.6000 1022.1000 1.0000 1.9000 338 352 0.9000 344 8.5000 8.5000 8.3000 97 96 0.3000 
54523 2025 10 9 18 1022.5000 1023.5000 1022.6000 1022.1000 1.9000 6.9000 3 23 1.5000 5 8.9000 9.1000 8.6000 97 97 3.0000 
54523 2025 10 9 21 1021.2000 1022.2000 1021.2000 1020.4000 0.8000 1.6000 354 330 0.6000 328 8.9000 8.9000 8.8000 98 96 1.6000 
